time	V(drain)	V(drain)/Id(M1)
1.829206249948855e-008	2.041454e-001	6.690776e+003
1.946393749948854e-008	1.700342e-001	6.154363e+003
2.053815624948853e-008	1.419280e-001	5.754392e+003
2.141706249948852e-008	1.213596e-001	5.483115e+003
2.229596874948851e-008	1.030211e-001	5.255083e+003
2.307721874948851e-008	8.856389e-002	5.083820e+003
2.385846874948850e-008	7.577303e-002	4.938152e+003
2.454206249948849e-008	6.587232e-002	4.828980e+003
2.522565624948849e-008	5.709522e-002	4.734698e+003
2.590924999948848e-008	4.935570e-002	4.653442e+003
2.659284374948847e-008	4.256390e-002	4.583542e+003
2.727643749948847e-008	3.662940e-002	4.523512e+003
2.796003124948846e-008	3.146381e-002	4.472035e+003
2.864362499948845e-008	2.698269e-002	4.427953e+003
2.932721874948845e-008	2.310689e-002	4.390246e+003
3.001081249948845e-008	1.976334e-002	4.358028e+003
3.069440624948847e-008	1.688549e-002	4.330523e+003
3.137799999948848e-008	1.441333e-002	4.307061e+003
3.206159374948850e-008	1.229328e-002	4.287061e+003
3.274518749948852e-008	1.047787e-002	4.270023e+003
3.342878124948853e-008	8.925281e-003	4.255516e+003
3.411237499948855e-008	7.598906e-003	4.243168e+003
3.479596874948857e-008	6.466842e-003	4.232663e+003
3.547956249948858e-008	5.501393e-003	4.223728e+003
3.616315624948860e-008	4.678599e-003	4.216131e+003
3.684674999948862e-008	3.977790e-003	4.209673e+003
3.753034374948863e-008	3.381178e-003	4.204185e+003
3.821393749948865e-008	2.873486e-003	4.199521e+003
3.889753124948867e-008	2.441618e-003	4.195559e+003
3.967878124948869e-008	2.026594e-003	4.191755e+003
4.046003124948870e-008	1.681856e-003	4.188598e+003
4.124128124948872e-008	1.395582e-003	4.185979e+003
4.212018749948874e-008	1.131195e-003	4.183562e+003
4.299909374948877e-008	9.167952e-004	4.181603e+003
4.397565624948879e-008	7.258077e-004	4.179859e+003
4.504987499948882e-008	5.612837e-004	4.178357e+003
4.622174999948884e-008	4.239886e-004	4.177104e+003
4.758893749948888e-008	3.056199e-004	4.176025e+003
4.915143749948892e-008	2.102136e-004	4.175155e+003
5.110456249948896e-008	1.316652e-004	4.174439e+003
5.354596874948902e-008	7.335776e-005	4.173907e+003
5.696393749948911e-008	3.234243e-005	4.173533e+003
6.282331249948924e-008	7.943339e-006	4.173311e+003
8.694440624948983e-008	2.452999e-008	4.173239e+003
9.817487499949010e-008	1.663138e-009	4.173239e+003
9.993268749949014e-008	1.091370e-009	4.173239e+003
1.000000000000000e-007	1.073806e-009	4.172393e+003
Step Information: Vdd=1  (Run: 6/14)
0.000000000000000e+000	1.000000e+000	1.771838e+004
9.765624960978488e-016	9.999999e-001	1.772046e+004
1.953124992195698e-015	9.999999e-001	1.772115e+004
6.085031249488532e-009	6.645051e-001	1.236007e+004
9.795968749488547e-009	4.688038e-001	9.095908e+003
