time	Ig(M1)
Step Information: Vdd=-1.8  (Run: 1/37)
1.970740676706673e-001	3.443522e-016
1.980740676706674e-001	3.443522e-016
1.990740676706674e-001	3.443522e-016
2.000740676706674e-001	3.443522e-016
2.010740676706674e-001	3.443522e-016
2.020740676706672e-001	3.443522e-016
2.030740676706673e-001	3.443522e-016
2.040740676706674e-001	3.443522e-016
2.050740676706673e-001	3.443522e-016
2.060740676706673e-001	3.443522e-016
2.070740676706673e-001	3.443522e-016
2.080740676706673e-001	3.443522e-016
2.090740676706674e-001	3.443522e-016
2.100740676706675e-001	3.443522e-016
2.110740676706673e-001	3.443522e-016
2.120740676706673e-001	3.443522e-016
2.126325345388838e-001	-2.659147e-016
2.135740676706674e-001	-3.443567e-016
2.146325345388839e-001	-2.659147e-016
2.155740676706673e-001	-3.443567e-016
2.166325345388838e-001	-2.659147e-016
2.175740676706674e-001	-3.443567e-016
2.186325345388838e-001	-2.659147e-016
2.195740676706673e-001	-3.443567e-016
2.206325345388838e-001	-2.659147e-016
2.215740676706673e-001	-3.443567e-016
2.226325345388838e-001	-2.659147e-016
2.235740676706675e-001	-3.443567e-016
2.246325345388838e-001	-2.659147e-016
2.255740676706673e-001	-3.443567e-016
2.266325345388838e-001	-2.659147e-016
2.275740676706674e-001	-3.443567e-016
2.286325345388838e-001	-2.659147e-016
2.295740676706674e-001	-3.443567e-016
2.306325345388838e-001	-2.659147e-016
2.315740676706673e-001	-3.443567e-016
2.326325345388838e-001	-2.659147e-016
2.335740676706674e-001	-3.443567e-016
2.346325345388838e-001	-2.659147e-016
2.355740676706674e-001	-3.443567e-016
2.366325345388837e-001	-2.659147e-016
2.375740676706674e-001	-3.443567e-016
2.386325345388839e-001	-2.659147e-016
2.395740676706673e-001	-3.443567e-016
2.406325345388838e-001	-2.659147e-016
2.415740676706674e-001	-3.443567e-016
2.426325345388838e-001	-2.659147e-016
2.435740676706674e-001	-3.443567e-016
2.446325345388838e-001	-2.659147e-016
2.455740676706673e-001	-3.443567e-016
2.466325345388838e-001	-2.659147e-016
2.475740676706675e-001	-3.443567e-016
2.486325345388838e-001	-2.659147e-016
2.495740676706674e-001	-3.443567e-016
2.506325345388837e-001	-2.659147e-016
2.515740676706673e-001	-3.443567e-016
2.526325345388838e-001	-2.659147e-016
2.535740676706674e-001	-3.443567e-016
2.546325345388838e-001	-2.659147e-016
2.552298585342136e-001	5.054000e-017
2.559737790217869e-001	3.725974e-016
2.576325345388839e-001	-2.659147e-016
2.585740676706674e-001	-3.443567e-016
2.596325345388837e-001	-2.659147e-016
2.605740676706673e-001	-3.443567e-016
2.616325345388838e-001	-2.659147e-016
2.625740676706674e-001	-3.443567e-016
2.636325345388838e-001	-2.659147e-016
2.645740676706673e-001	-3.443567e-016
2.656325345388839e-001	-2.659147e-016
2.665740676706675e-001	-3.443567e-016
2.676325345388838e-001	-2.659147e-016
2.685740676706674e-001	-3.443567e-016
2.696325345388838e-001	-2.659147e-016
2.705740676706674e-001	-3.443567e-016
2.716325345388839e-001	-2.659147e-016
2.725740676706673e-001	-3.443567e-016
